volume,vwap,open,close,high,low,time,transactions
1618189972.0,3.2717,3.3339,3.1693,3.4214,3.0929,1223524800,335400
2220293068.0,3.3337,3.0607,3.4571,3.5714,3.0357,1223611200,476280
1540480760.0,3.7679,3.7386,3.9379,3.9475,3.6079,1223870400,326754
1982388688.0,3.8862,4.1521,3.7171,4.1571,3.6836,1223956800,440592
1584175460.0,3.6718,3.7086,3.4982,3.8214,3.4961,1224043200,358603
1980520500.0,3.4465,3.5632,3.6389,3.6939,3.2764,1224129600,439280
1763151908.0,3.5402,3.5571,3.4786,3.6443,3.4646,1224216000,376705
1549168152.0,3.4672,3.5636,3.5157,3.5725,3.3443,1224475200,346628
2193657452.0,3.3823,3.4625,3.2675,3.4964,3.2557,1224561600,441313
2248808324.0,3.4926,3.4775,3.4596,3.6161,3.3189,1224648000,490212
1675401672.0,3.4415,3.4468,3.5082,3.5446,3.2821,1224734400,387992
1590058204.0,3.387,3.2261,3.4421,3.4964,3.2182,1224820800,351874
1209388768.0,3.4086,3.3954,3.2889,3.4868,3.2807,1225080000,272341
1635709600.0,3.4139,3.4082,3.5682,3.5893,3.2989,1225166400,359789
1953271600.0,3.7802,3.6021,3.7339,3.9121,3.5693,1225252800,430771
1638087640.0,3.9337,3.8654,3.9657,4.0068,3.8432,1225339200,381226
1660171268.0,3.8558,3.8357,3.8425,3.9564,3.755,1225425600,369456
1058438640.0,3.8335,3.7832,3.82,3.8964,3.745,1225688400,241295
1399965812.0,3.9047,3.9282,3.9639,3.9925,3.8096,1225774800,303335
1257624564.0,3.8116,3.8896,3.6893,3.9186,3.6782,1225861200,285080
1318115176.0,3.5609,3.61,3.5393,3.6707,3.5,1225947600,304096
1095636612.0,3.4997,3.5443,3.5086,3.5661,3.4186,1226034000,243750
1125885992.0,3.4541,3.5775,3.4243,3.5857,3.375,1226293200,245862
1224996388.0,3.3601,3.3861,3.3846,3.4704,3.295,1226379600,273515
1178928268.0,3.2677,3.3011,3.2186,3.33,3.2146,1226466000,274354
1855361704.0,3.2157,3.2096,3.4443,3.4443,3.0721,1226552400,394533
1405278840.0,3.2824,3.3486,3.2229,3.3568,3.2143,1226638800,309108
1162923916.0,3.1756,3.16,3.1479,3.2339,3.1164,1226898000,258156
1210354096.0,3.1796,3.2014,3.2111,3.2496,3.1021,1226984400,264734
1171847628.0,3.1816,3.1943,3.0818,3.2707,3.0789,1227070800,273639
1716739836.0,2.9855,3.0443,2.8746,3.0875,2.8571,1227157200,388248
1569326192.0,2.9192,2.9261,2.9493,3.0043,2.8264,1227243600,345375
1442692552.0,3.2131,3.0432,3.3196,3.3854,3.03,1227502800,298251
1235556840.0,3.2387,3.3796,3.2429,3.3825,3.1486,1227589200,267281
900502428.0,3.3493,3.2114,3.3929,3.4018,3.2089,1227675600,184215
301196756.0,3.313,3.3821,3.3096,3.3843,3.2807,1227848400,54361
924162092.0,3.2262,3.2607,3.1761,3.2954,3.1758,1228107600,195334
1149416436.0,3.2195,3.2154,3.3025,3.3089,3.0893,1228194000,233809
1340217424.0,3.328,3.1929,3.425,3.4368,3.1714,1228280400,272375
1091685588.0,3.3079,3.3725,3.2646,3.4004,3.1807,1228366800,221770
1044403360.0,3.2755,3.2282,3.3571,3.3746,3.1736,1228453200,213971
1185692648.0,3.5301,3.4743,3.5614,3.6,3.4214,1228712400,245944
1204100828.0,3.602,3.5014,3.5736,3.7,3.4718,1228798800,242109
938409836.0,3.4895,3.4954,3.5075,3.5532,3.4464,1228885200,185787
1043280196.0,3.499,3.4768,3.3929,3.6157,3.3868,1228971600,202318
1042810244.0,3.4669,3.3143,3.5096,3.5357,3.3046,1229058000,214973
892051104.0,3.3625,3.4282,3.3839,3.4361,3.3214,1229317200,182175
1124473224.0,3.3777,3.3564,3.4082,3.4457,3.3125,1229403600,214619
1300088608.0,3.1907,3.2511,3.1843,3.2536,3.1436,1229490000,244136
857741892.0,3.209,3.1896,3.1939,3.2439,3.1586,1229576400,170226
814963632.0,3.2077,3.2121,3.2143,3.2479,3.1714,1229662800,135328
