channel_title,channel_id,view_count,subscriber_count,video_count
Om Nutrition India,UCn0fIlXDA5ZGN45U5OUnPUA,327826,2350,212
In The Flow Nutrition,UCT3Z3kL6Nsbhb0AY8mzpQhA,325810,4140,80
Sílvia Dicas Diet,UCcwSIaQGISSyExfXbqttU7Q,324528,5210,470
주부어트(ZUMBA & Diet),UCsNPbKG3psV6M5JQw7FtBGg,323636,1750,136
4+ Nutrition Official,UCo45A89HAWjgl7WT9HXETZA,320192,692,160
Nutrition & Diet Bites,UC5P5I2Vt_40n6VvhG_1zMOA,320074,762,392
BOLT Nutrition,UCPCGdM5mIr9q-2wACilZqPA,317358,10600,122
IOC Diploma Sports Nutrition,UCRvNgO9CU5NMWjrz9ijb-UQ,315842,3680,313
The Natural Human Diet,UCgQcOhexh4k4O-xR0x-BPyA,315288,6400,137
Driven Nutrition,UCjy35qRevXpMObZ8GlVl67Q,308248,876,391
Zen Diet,UC5Ax0oCq7YPhkWWgWnUULww,305578,1900,177
diet with lolo,UCSJPumQt-0FsghB8161sybw,303108,2810,53
The Institute of Holistic Nutrition - IHN,UCtn2ePsq20BW17U3fQbRong,296815,6550,111
Easy French diet,UCeBrT3JB2AJwqjhcuK7zc8A,295680,3320,26
